,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
1850,Dawes Point,-33.8572223,151.20677560000001,Grain,-33.86144016668389,151.20848605463442,Cocktail Bar
1851,Dawes Point,-33.8572223,151.20677560000001,Splendid Sandwiches,-33.86108,151.20402,Sandwich Place
1852,Dawes Point,-33.8572223,151.20677560000001,Argyle Cafe,-33.85830589409691,151.20296349397677,Café
1853,Dawes Point,-33.8572223,151.20677560000001,Walsh Bay Promenade,-33.85657003025285,151.20425942227808,Plaza
1854,Dawes Point,-33.8572223,151.20677560000001,Holiday Inn,-33.8580915,151.208996,Hotel
1855,Dawes Point,-33.8572223,151.20677560000001,Kent Street Kitchen,-33.86066417190705,151.2036845801234,Modern European Restaurant
1856,Dawes Point,-33.8572223,151.20677560000001,The Living Room,-33.85623138701775,151.20955262143613,Restaurant
1857,Dawes Point,-33.8572223,151.20677560000001,Pancakes On The Rocks,-33.85724042858739,151.208907410813,Diner
1858,Dawes Point,-33.8572223,151.20677560000001,Simmer on the Bay,-33.85564280454061,151.20694674839532,Café
1859,Dawes Point,-33.8572223,151.20677560000001,The Rawson Bar,-33.85822832597184,151.20927572250366,Cocktail Bar
1860,Dawes Point,-33.8572223,151.20677560000001,Harbourview Hotel,-33.85668630405287,151.2075236932963,Bar
1861,Dawes Point,-33.8572223,151.20677560000001,Waterfront Restaurant,-33.857087600391495,151.2095680969256,Seafood Restaurant
1862,Dawes Point,-33.8572223,151.20677560000001,The Gantry Restaurant & Bar,-33.85428333931455,151.20798971346917,Hotel Bar
1863,Dawes Point,-33.8572223,151.20677560000001,Bar Fredo,-33.85644167081775,151.20425906379117,Café
1864,Dawes Point,-33.8572223,151.20677560000001,Walsh Bay Kitchen,-33.856995,151.205003,Restaurant
1865,Dawes Point,-33.8572223,151.20677560000001,Opal minded,-33.858012689187554,151.2089606849698,Jewelry Store
1866,Dawes Point,-33.8572223,151.20677560000001,Pier 8/9,-33.856400605793944,151.20370199098605,Harbor / Marina
1867,Dawes Point,-33.8572223,151.20677560000001,Pier 1,-33.85510743753074,151.20897776002818,Pier
1868,Dawes Point,-33.8572223,151.20677560000001,Captain Cook Hotel,-33.85877180894747,151.20347112101678,Pub
1869,Dawes Point,-33.8572223,151.20677560000001,Pier 8,-33.85583915867342,151.20379737031996,Harbor / Marina
